Nycteris thebaica	Nycteris thebaica	Nycteris	Mammal
Nycticeinops crassulus	Nycticeinops crassulus	Nycticeinops	Mammal
Ochotona thibetana	Ochotona thibetana	Ochotona	Mammal
Odobenus rosmarus	Odobenus rosmarus	Odobenus	Mammal
Odocoileus virginianus	Odocoileus virginianus	Odocoileus	Mammal
Oligosoma aeneum	Oligosoma aeneum	Oligosoma	Other
Orcinus orca	Orcinus orca	Orcinus	Mammal
Oryctolagus cuniculus	Oryctolagus cuniculus	Oryctolagus	Mammal
Otariidae	Otariidae	Otariidae	Mammal
Ovibos moschatus	Ovibos moschatus	Ovibos	Mammal
Ovis aries	Ovis aries	Ovis	Mammal
Pachytriton brevipes	Pachytriton brevipes	Pachytriton	Other
Paguma larvata	Paguma larvata	Paguma	Mammal
Pan troglodytes	Pan troglodytes	Pan	Mammal
Panthera tigris altaica	Panthera tigris altaica	Panthera	Mammal
Papio anubis	Papio anubis	Papio	Mammal
Papio hamadryas	Papio hamadryas	Papio	Mammal
Paradoxurus hermaphroditus	Paradoxurus hermaphroditus	Paradoxurus	Mammal
Parapercis lutevittata	Parapercis lutevittata	Parapercis	Other
Paratriaenops furcula	Paratriaenops furcula	Paratriaenops	Mammal
Passer montanus	Passer montanus	Passer	Avian
Passeriformes	Passeriformes	Passeriformes	Avian
Pelophylax nigromaculatus	Pelophylax nigromaculatus	Pelophylax	Other
Periparus ater	Periparus ater	Periparus	Avian
Petrochromis famula	Petrochromis famula	Petrochromis	Other
Petroica macrocephala	Petroica macrocephala	Petroica	Avian
Phasianinae	Phasianinae	Phasianinae	Avian
Phasianus colchicus	Phasianus colchicus	Phasianus	Avian
Phocarctos hookeri	Phocarctos hookeri	Phocarctos	Mammal
Phrynocephalus erythrurus	Phrynocephalus erythrurus	Phrynocephalus	Other
Phrynocephalus theobaldi	Phrynocephalus theobaldi	Phrynocephalus	Other
Phylloscopus inornatus	Phylloscopus inornatus	Phylloscopus	Avian
Pipistrellus abramus	Pipistrellus abramus	Pipistrellus	Mammal
Pipistrellus kuhlii	Pipistrellus kuhlii	Pipistrellus	Mammal
Pipistrellus nathusii	Pipistrellus nathusii	Pipistrellus	Mammal
Pipistrellus pipistrellus	Pipistrellus pipistrellus	Pipistrellus	Mammal
Pipistrellus pygmaeus	Pipistrellus pygmaeus	Pipistrellus	Mammal
Pipistrellus sp.	Pipistrellus sp.	Pipistrellus	Mammal
Plagiopsetta sp.	Plagiopsetta sp.	Plagiopsetta	Other
Plagiotremus tapeinosoma	Plagiotremus tapeinosoma	Plagiotremus	Other
Platalea minor	Platalea minor	Platalea	Avian
Platycephalus richardsoni	Platycephalus richardsoni	Platycephalus	Other
Plecotus auritus	Plecotus auritus	Plecotus	Mammal
Pleuronichthys japonicus	Pleuronichthys japonicus	Pleuronichthys	Other
Podarcis siculus	Podarcis siculus	Podarcis	Other
Pogonophryne immaculata	Pogonophryne immaculata	Pogonophryne	Other
Polypedates megacephalus	Polypedates megacephalus	Polypedates	Other
Praomys	Praomys	Praomys	Mammal
Praomys rostratus	Praomys rostratus	Praomys	Mammal
Praomys tullbergi	Praomys tullbergi	Praomys	Mammal
Prunella montanella	Prunella montanella	Prunella	Avian
Pseudois nayaur	Pseudois nayaur	Pseudois	Mammal
Pseudorhombus arsius	Pseudorhombus arsius	Pseudorhombus	Other
Pteropus alecto	Pteropus alecto	Pteropus	Mammal
Pteropus medius	Pteropus medius	Pteropus	Mammal
Pterygotrigla hemisticta	Pterygotrigla hemisticta	Pterygotrigla	Other
