organism	group
Bat astrovirus N78-02/Germany/2008	BatAstV
Bat astrovirus N78-04/Germany/2008	BatAstV
Bat astrovirus N78-10/Germany/2008	BatAstV
Bat astrovirus N78-46/Germany/2008	BatAstV
Bat astrovirus N78-47/Germany/2008	BatAstV
Bat astrovirus N78-49/Germany/2008	BatAstV
Bat astrovirus Pa/Sichuan/A367/2005	BatAstV
Bat astrovirus Ra/CW01/Hainan	BatAstV
Bat astrovirus Ra/DL040/Hainan	BatAstV
Bat astrovirus Rf/Hubei/273/2004	BatAstV
Bat astrovirus Rf/Shandong/A977/2006	BatAstV
Bat astrovirus Rl/HKGS/CHN/2008	BatAstV
Bat astrovirus Rp/FK27/Guangxi	BatAstV
Bat astrovirus Rp/FK35/Guangxi	BatAstV
Bat astrovirus Rp/Jiangxi/A860/2005	BatAstV
Bat astrovirus SK/HK68/HK14/HK15/CHN/2007	BatAstV
Bat astrovirus Sk/CZ11/Hainan	BatAstV
Bat astrovirus Sk/CZ15/Hainan	BatAstV
Bat astrovirus Sk/CZ17/Hainan	BatAstV
Bat astrovirus Sk/CZ32/Hainan	BatAstV
Bat astrovirus Sk/HK14/CHN/2007	BatAstV
Bat astrovirus Sk/HK15/CHN/2007	BatAstV
Bat astrovirus Sk/HK63/CHN/2007	BatAstV
Bat astrovirus Sk/HK68/CHN/2007	BatAstV
Bat astrovirus Sk/HK71/CHN/2007	BatAstV
Bat astrovirus Sk/JX18/Hainan	BatAstV
Bat astrovirus Sk/LZ01/Hainan	BatAstV
Bat astrovirus Sk/LZ04/Hainan	BatAstV
Bat astrovirus Sk/LZ05/Hainan	BatAstV
Bat astrovirus Sk/LZ12/Hainan	BatAstV
Bat astrovirus Sk/LZ14/Hainan	BatAstV
Bat astrovirus Sk/LZ32/Hainan	BatAstV
Bat astrovirus Sk/LZ35/Hainan	BatAstV
Bat astrovirus Sk/LZ36/Hainan	BatAstV
Bat astrovirus Sk/YY15/Hainan	BatAstV
Bat astrovirus Sk/YY17-1/Hainan	BatAstV
Bat astrovirus Sk/YY17-2/Hainan	BatAstV
Bat astrovirus Tm/Guangxi/DX02/2007	BatAstV
