# Manually curated annotations TSV file
# The TSV should not have a header and should have exactly three columns:
# id to match existing metadata, field name, and field value
# If there are multiple annotations for the same id and field, then the last value is used
# Lines starting with '#' are treated as comments
# Any '#' after the field value are treated as comments.
FJ755386	note	ORF2
FJ755387	note	ORF2
FJ755388	note	ORF2
FJ755389	note	ORF2
FJ755390	note	ORF2
FJ755391	note	ORF2
FJ755392	note	ORF2
FJ755393	note	ORF2
FJ755394	note	ORF2
FJ755395	note	ORF2
FJ755396	note	ORF2
FJ755397	note	ORF2
FJ755398	note	ORF2
FJ755399	note	ORF2
FJ755400	note	ORF2
FJ755401	note	ORF2
FJ755402	note	ORF2
FJ755403	note	ORF2
FJ755404	note	ORF2
FJ755405	note	ORF2
FJ792842	note	genotype: 1
FJ829070	note	genotype: HAstV-2
FJ842147	note	ORF1b
FJ842148	note	ORF2
FJ842149	note	ORF1a
FJ890351	note	predicted caspase cleavage site
FJ890352	note	predicted caspase cleavage site
FJ890353	note	ORF2
FJ890354	note	ORF2
FJ890355	note	predicted caspase cleavage site
FJ905407	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905408	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905409	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905410	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905411	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905412	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905413	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905414	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905415	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905416	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905417	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905418	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905419	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905420	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905421	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905422	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905423	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905424	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905425	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905426	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905427	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905428	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905429	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905430	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905431	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905432	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905433	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ905434	note	PCR_primers=fwd_name: MON244, rev_name: MON245
FJ940720	note	Orf1a
FJ959032	note	type: 3
FJ959033	note	type: 3
FJ959034	note	type: 3
FJ959035	note	type: 3
FJ959036	note	type: 3
FJ959037	note	type: 3
FJ959038	note	type: 3
FJ959039	note	type: 3
FJ959040	note	type: 3
FJ973620	note	ORF2
FR727146	note	ORF2
FR727147	note	ORF2
FR727148	note	ORF2
FR727149	note	ORF2
GQ174439	note	similar to capsid protein precursor
GQ174440	note	similar to capsid protein precursor
GQ174441	note	similar to capsid protein precursor
GQ174442	note	similar to capsid protein precursor
GQ174443	note	similar to capsid protein precursor
GQ174444	note	similar to capsid protein precursor
GQ174445	note	similar to capsid protein precursor
GQ174446	note	similar to capsid protein precursor
GQ174447	note	similar to capsid protein precursor
GQ174448	note	similar to capsid protein precursor
GQ174449	note	similar to capsid protein precursor
GQ174450	note	similar to capsid protein precursor
GQ174451	note	similar to capsid protein precursor
GQ174452	note	similar to capsid protein precursor
GQ174453	note	similar to capsid protein precursor
GQ174454	note	similar to capsid protein precursor
GQ174455	note	similar to capsid protein precursor
GQ174456	note	similar to capsid protein precursor
GQ174457	note	similar to capsid protein precursor
GQ174458	note	similar to capsid protein precursor
GQ174459	note	similar to capsid protein precursor
GQ174460	note	similar to capsid protein precursor
GQ174461	note	similar to capsid protein precursor
GQ174462	note	similar to capsid protein precursor
GQ174463	note	similar to capsid protein precursor
GQ174464	note	similar to capsid protein precursor
GQ174465	note	similar to capsid protein precursor
GQ174466	note	similar to capsid protein precursor
GQ174467	note	similar to capsid protein precursor
GQ174468	note	similar to capsid protein precursor
GQ174469	note	similar to capsid protein precursor
GQ174470	note	similar to capsid protein precursor
GQ174471	note	similar to capsid protein precursor
GQ174472	note	similar to capsid protein precursor
GQ267696	note	ORF2
GQ301005	note	ORF-1b
GQ301006	note	ORF-1b
GQ301007	note	ORF-1b
GQ301008	note	ORF-1b
GQ301009	note	ORF-1b
GQ301010	note	ORF-1b
GQ301011	note	ORF-1b
GQ301012	note	ORF-1b
GQ301013	note	ORF-1b
GQ301014	note	ORF-1b
GQ301015	note	ORF-1b
GQ301016	note	ORF-1b
GQ301017	note	ORF-1b
GQ301018	note	ORF-1b
GQ301019	note	ORF-1b
GQ301020	note	ORF-1b
GQ301021	note	ORF-1b
GQ301022	note	ORF-1b
GQ301023	note	ORF-1b
GQ301024	note	ORF-1b
GQ301025	note	ORF-1b
GQ301026	note	ORF-1b
GQ301027	note	ORF-1b
GQ301028	note	ORF-1b
GQ301029	note	ORF-1b
GQ301030	note	ORF-1b
GQ301031	note	ORF-1b
GQ301032	note	ORF-1b
GQ301033	note	ORF-1b
GQ301034	note	ORF-1b
GQ301035	note	ORF-1b
GQ323783	note	genotype: 1
GQ323784	note	genotype: 1
GQ323785	note	genotype: 1
GQ323786	note	genotype: 1
GQ323787	note	genotype: 1
GQ323788	note	genotype: 1
GQ323789	note	genotype: 1
GQ323790	note	genotype: 1
GQ323791	note	genotype: 1
GQ323792	note	genotype: 1
GQ323793	note	genotype: 1
GQ323794	note	genotype: 1
GQ323795	note	genotype: 1
GQ323796	note	genotype: 1
GQ323797	note	genotype: 1
GQ323798	note	genotype: 1
GQ323799	note	genotype: 1
GQ323800	note	genotype: 1
GQ323801	note	genotype: 1
GQ323802	note	genotype: 1
GQ323803	note	genotype: 1
GQ323804	note	genotype: 1
GQ323805	note	genotype: 1
GQ323806	note	genotype: 1
GQ323807	note	genotype: 1
GQ323808	note	genotype: 1
